sub,sess,mult_cond,CV,group,cort_to_Put,cort_to_CN
101,Pre,single,0.34446694685599605,practice,0.752828099727379,-0.698470127556358
101,Pre,multi-first,0.28519978983002275,practice,0.752828099727379,-0.698470127556358
101,Pre,multi-second,0.273098336387932,practice,0.752828099727379,-0.698470127556358
104,Pre,single,0.32608862835548114,practice,-1.49472258837961,0.446773296492803
104,Pre,multi-first,0.20253975229534718,practice,-1.49472258837961,0.446773296492803
104,Pre,multi-second,0.25985831606727305,practice,-1.49472258837961,0.446773296492803
105,Pre,single,0.327613055852418,practice,-0.608077900334083,-1.59781204126809
107,Pre,single,0.2532701643781384,practice,1.14807748778526,0.288765952877068
107,Pre,multi-first,0.2801994955661237,practice,1.14807748778526,0.288765952877068
107,Pre,multi-second,0.27741003032249884,practice,1.14807748778526,0.288765952877068
108,Pre,single,0.34854421826555054,practice,0.710704462040116,-0.0179460858967451
108,Pre,multi-first,0.28672802283640414,practice,0.710704462040116,-0.0179460858967451
108,Pre,multi-second,0.2825393276381021,practice,0.710704462040116,-0.0179460858967451
110,Pre,single,0.21313404011686488,practice,-0.460032612126875,0.324373550777549
110,Pre,multi-first,0.16596318479813707,practice,-0.460032612126875,0.324373550777549
110,Pre,multi-second,0.16433285890380214,practice,-0.460032612126875,0.324373550777549
111,Pre,single,0.23781758698440472,practice,-0.590715484131857,0.863219523113641
111,Pre,multi-first,0.23911160740133314,practice,-0.590715484131857,0.863219523113641
111,Pre,multi-second,0.19565981975166424,practice,-0.590715484131857,0.863219523113641
112,Pre,single,0.2203873889073117,practice,1.38918930022805,-1.82052027673996
112,Pre,multi-first,0.22684723527512357,practice,1.38918930022805,-1.82052027673996
112,Pre,multi-second,0.22024607847108676,practice,1.38918930022805,-1.82052027673996
113,Pre,single,0.3440106141988544,practice,-1.85470616799903,-0.639749612250895
113,Pre,multi-first,0.384053178409768,practice,-1.85470616799903,-0.639749612250895
113,Pre,multi-second,0.3809594417351581,practice,-1.85470616799903,-0.639749612250895
114,Pre,single,0.29437501669481436,practice,0.203774672876373,1.21456253093143
114,Pre,multi-first,0.2564964942001553,practice,0.203774672876373,1.21456253093143
114,Pre,multi-second,0.2523812144251716,practice,0.203774672876373,1.21456253093143
115,Pre,single,0.41896413887715356,practice,-0.499509351075311,0.243681396190288
115,Pre,multi-first,0.23484139615840824,practice,-0.499509351075311,0.243681396190288
115,Pre,multi-second,0.22384459205336976,practice,-0.499509351075311,0.243681396190288
117,Pre,single,0.23187878726949968,practice,-0.704451044586437,-0.572852256329148
117,Pre,multi-first,0.24990079758619757,practice,-0.704451044586437,-0.572852256329148
117,Pre,multi-second,0.17111009276493305,practice,-0.704451044586437,-0.572852256329148
118,Pre,single,0.15431712175293827,practice,-0.852409080639774,0.359598715626993
118,Pre,multi-first,0.2553834470909516,practice,-0.852409080639774,0.359598715626993
118,Pre,multi-second,0.2564493864968552,practice,-0.852409080639774,0.359598715626993
119,Pre,single,0.20227945585394205,practice,0.390332020487801,0.911101558665403
119,Pre,multi-first,0.22190499631561966,practice,0.390332020487801,0.911101558665403
119,Pre,multi-second,0.15833974370337336,practice,0.390332020487801,0.911101558665403
120,Pre,single,0.29487292737213583,practice,1.52627293500657,0.631507812513872
120,Pre,multi-first,0.1453734214199204,practice,1.52627293500657,0.631507812513872
120,Pre,multi-second,0.14432848417092217,practice,1.52627293500657,0.631507812513872
121,Pre,single,0.2516044404615563,practice,-0.53096077541706,0.582442748538482
121,Pre,multi-first,0.12569634837057217,practice,-0.53096077541706,0.582442748538482
121,Pre,multi-second,0.12473188531172257,practice,-0.53096077541706,0.582442748538482
122,Pre,single,0.24926630576798803,practice,-0.370242311853698,-0.992177733935694
122,Pre,multi-first,0.3413109704601536,practice,-0.370242311853698,-0.992177733935694
122,Pre,multi-second,0.29611359047715685,practice,-0.370242311853698,-0.992177733935694
123,Pre,single,0.29426788473671905,practice,-0.266104322081583,1.99561832571339
123,Pre,multi-first,0.25053887277618886,practice,-0.266104322081583,1.99561832571339
123,Pre,multi-second,0.2211040649314382,practice,-0.266104322081583,1.99561832571339
124,Pre,single,0.32612467305812637,practice,-0.252130566123317,-0.179423323093696
124,Pre,multi-first,0.2603172493199626,practice,-0.252130566123317,-0.179423323093696
124,Pre,multi-second,0.2816607939632737,practice,-0.252130566123317,-0.179423323093696
126,Pre,single,0.4635850573080627,practice,-0.182669321970157,0.912013311307516
126,Pre,multi-first,0.3108982576402543,practice,-0.182669321970157,0.912013311307516
126,Pre,multi-second,0.2395202088980401,practice,-0.182669321970157,0.912013311307516
127,Pre,single,0.23465764140242784,practice,0.996259385466626,-0.183930856821656
127,Pre,multi-first,0.24730065341079494,practice,0.996259385466626,-0.183930856821656
127,Pre,multi-second,0.2586912854178592,practice,0.996259385466626,-0.183930856821656
129,Pre,single,0.1507392984470177,practice,0.206445368202492,-0.248037914561443
129,Pre,multi-first,0.21852644299512533,practice,0.206445368202492,-0.248037914561443
129,Pre,multi-second,0.1852154538470361,practice,0.206445368202492,-0.248037914561443
130,Pre,single,0.28434010413565314,practice,-0.428253999669856,-0.6730635554503
130,Pre,multi-first,0.293774637809643,practice,-0.428253999669856,-0.6730635554503
130,Pre,multi-second,0.2941536419361139,practice,-0.428253999669856,-0.6730635554503
131,Pre,single,0.2021113806840823,practice,-0.569508210993138,-0.122098995317909
131,Pre,multi-first,0.18494220139860976,practice,-0.569508210993138,-0.122098995317909
131,Pre,multi-second,0.1909797434465602,practice,-0.569508210993138,-0.122098995317909
132,Pre,single,0.24948846521036902,practice,0.535886890988757,1.42609532827933
132,Pre,multi-first,0.22089373803985424,practice,0.535886890988757,1.42609532827933
132,Pre,multi-second,0.24236729697950327,practice,0.535886890988757,1.42609532827933
134,Pre,single,0.23816796067494087,practice,0.598675918122274,0.130075193245453
134,Pre,multi-first,0.1628816693359286,practice,0.598675918122274,0.130075193245453
134,Pre,multi-second,0.1560823677166601,practice,0.598675918122274,0.130075193245453
135,Pre,single,0.40795863217704026,practice,0.525950724670399,-0.353739463838977
135,Pre,multi-first,0.31427161048476454,practice,0.525950724670399,-0.353739463838977
135,Pre,multi-second,0.3064259156614765,practice,0.525950724670399,-0.353739463838977
137,Pre,single,0.26009413472106796,practice,-0.709192872683812,0.00873732081301156
137,Pre,multi-first,0.18800420513817134,practice,-0.709192872683812,0.00873732081301156
137,Pre,multi-second,0.13909388703193748,practice,-0.709192872683812,0.00873732081301156
138,Pre,single,0.2594492395768153,practice,0.0276769354291938,1.07994673443963
138,Pre,multi-first,0.2071774698358597,practice,0.0276769354291938,1.07994673443963
138,Pre,multi-second,0.2054216664116637,practice,0.0276769354291938,1.07994673443963
139,Pre,single,0.20370838001422473,practice,-1.58019234145429,0.546383191984895
139,Pre,multi-first,0.19392949748205324,practice,-1.58019234145429,0.546383191984895
139,Pre,multi-second,0.19122299120942704,practice,-1.58019234145429,0.546383191984895
140,Pre,single,0.189884008297711,practice,1.57619707320767,0.281802546421419
140,Pre,multi-first,0.22277901736210687,practice,1.57619707320767,0.281802546421419
140,Pre,multi-second,0.18731331496561007,practice,1.57619707320767,0.281802546421419
141,Pre,single,0.23942987690840065,practice,0.397319956640325,1.24135992759136
141,Pre,multi-first,0.18300562646976415,practice,0.397319956640325,1.24135992759136
141,Pre,multi-second,0.23275621165300617,practice,0.397319956640325,1.24135992759136
142,Pre,single,0.13311731255630796,practice,1.49162437232094,-0.585713654884981
142,Pre,multi-first,0.21637224843319314,practice,1.49162437232094,-0.585713654884981
142,Pre,multi-second,0.2028272370034969,practice,1.49162437232094,-0.585713654884981
145,Pre,single,0.31989928221969055,practice,1.72902999125318,-1.31513907818317
145,Pre,multi-first,0.23105451072397415,practice,1.72902999125318,-1.31513907818317
145,Pre,multi-second,0.2185149172318811,practice,1.72902999125318,-1.31513907818317
146,Pre,single,0.2278494233235672,practice,-1.44366093963327,-0.0755531404085394
146,Pre,multi-first,0.1928099698828042,practice,-1.44366093963327,-0.0755531404085394
146,Pre,multi-second,0.15530959466826466,practice,-1.44366093963327,-0.0755531404085394
147,Pre,single,0.25672170295619245,practice,0.809779029001763,-0.237888734778271
147,Pre,multi-first,0.279054904465399,practice,0.809779029001763,-0.237888734778271
147,Pre,multi-second,0.23801341467383977,practice,0.809779029001763,-0.237888734778271
148,Pre,single,0.259494712311692,practice,-0.892932852234884,-0.277181007589691
148,Pre,multi-first,0.2751670798501492,practice,-0.892932852234884,-0.277181007589691
148,Pre,multi-second,0.204764292918545,practice,-0.892932852234884,-0.277181007589691
149,Pre,single,0.2527217152079746,practice,0.490658787495892,-1.09969796914542
149,Pre,multi-first,0.2609592697351039,practice,0.490658787495892,-1.09969796914542
149,Pre,multi-second,0.19761345234631206,practice,0.490658787495892,-1.09969796914542
201,Pre,single,0.3108249133684233,control,-0.833659703342193,-0.467455821967318
201,Pre,multi-first,0.2358495068002494,control,-0.833659703342193,-0.467455821967318
201,Pre,multi-second,0.23117240761804214,control,-0.833659703342193,-0.467455821967318
202,Pre,single,0.37849465415060085,control,0.841305886326153,1.52906926262327
202,Pre,multi-first,0.3680548896638154,control,0.841305886326153,1.52906926262327
202,Pre,multi-second,0.24172081789556749,control,0.841305886326153,1.52906926262327
203,Pre,single,0.3725401044485233,control,-1.049388354204,-0.882158938368257
203,Pre,multi-first,0.44342186046853704,control,-1.049388354204,-0.882158938368257
206,Pre,single,0.39834292843046465,control,0.63769245634547,-0.673866964907731
206,Pre,multi-first,0.4140298051513244,control,0.63769245634547,-0.673866964907731
206,Pre,multi-second,0.2708013132772284,control,0.63769245634547,-0.673866964907731
207,Pre,single,0.3029215855003985,control,-0.317075673418817,0.0937927268196247
207,Pre,multi-first,0.2592314551877085,control,-0.317075673418817,0.0937927268196247
207,Pre,multi-second,0.199098995843158,control,-0.317075673418817,0.0937927268196247
208,Pre,single,0.36238818998459105,control,-0.160708103392632,-1.33564439345539
208,Pre,multi-first,0.20760898767974315,control,-0.160708103392632,-1.33564439345539
208,Pre,multi-second,0.16962127976374708,control,-0.160708103392632,-1.33564439345539
209,Pre,single,0.2842914457395641,control,-1.79182279846359,-0.39733911117251
209,Pre,multi-first,0.15360338374909455,control,-1.79182279846359,-0.39733911117251
209,Pre,multi-second,0.16894560815474094,control,-1.79182279846359,-0.39733911117251
210,Pre,single,0.2510770328306447,control,0.761244749681191,-0.864999697401663
210,Pre,multi-first,0.20052551597470028,control,0.761244749681191,-0.864999697401663
210,Pre,multi-second,0.15701693397155017,control,0.761244749681191,-0.864999697401663
211,Pre,single,0.291337299723393,control,1.0005282459999,-1.8931015810753
211,Pre,multi-first,0.3520395561396076,control,1.0005282459999,-1.8931015810753
211,Pre,multi-second,0.23886728432286236,control,1.0005282459999,-1.8931015810753
212,Pre,single,0.2885473250493155,control,1.37295266502083,-0.189223496863655
212,Pre,multi-first,0.30227909403337905,control,1.37295266502083,-0.189223496863655
212,Pre,multi-second,0.24699169115947264,control,1.37295266502083,-0.189223496863655
213,Pre,single,0.23835777512381717,control,-0.250284105591234,-0.279929854956577
213,Pre,multi-first,0.24795644662692928,control,-0.250284105591234,-0.279929854956577
213,Pre,multi-second,0.24800426463539044,control,-0.250284105591234,-0.279929854956577
214,Pre,single,0.2637223996747456,control,2.47431306865065,0.719978104840895
214,Pre,multi-first,0.26515921164113504,control,2.47431306865065,0.719978104840895
214,Pre,multi-second,0.17680417749162766,control,2.47431306865065,0.719978104840895
215,Pre,single,0.16328094283415576,control,-2.3641642314307,-0.847318034251777
215,Pre,multi-first,0.2592780727823468,control,-2.3641642314307,-0.847318034251777
215,Pre,multi-second,0.23707609802051158,control,-2.3641642314307,-0.847318034251777
216,Pre,single,0.24760324815479798,control,0.253833846097498,2.74681218028936
216,Pre,multi-first,0.16529056328302694,control,0.253833846097498,2.74681218028936
216,Pre,multi-second,0.1355824129476759,control,0.253833846097498,2.74681218028936
217,Pre,single,0.25250870465271263,control,-0.211211606453566,0.248286621689603
217,Pre,multi-first,0.1617182221290993,control,-0.211211606453566,0.248286621689603
217,Pre,multi-second,0.13561509850091058,control,-0.211211606453566,0.248286621689603
218,Pre,single,0.27286332889543063,control,-0.535026325529466,-0.0403522004334011
218,Pre,multi-first,0.326904519628735,control,-0.535026325529466,-0.0403522004334011
218,Pre,multi-second,0.30380258387640213,control,-0.535026325529466,-0.0403522004334011
220,Pre,single,0.21277114407150194,control,0.622543391871509,-0.925964340060446
220,Pre,multi-first,0.2262178222195965,control,0.622543391871509,-0.925964340060446
220,Pre,multi-second,0.19009489024088236,control,0.622543391871509,-0.925964340060446
221,Pre,single,0.1949781179165674,control,-0.766513412296574,-0.511237012958166
221,Pre,multi-first,0.4283805649339391,control,-0.766513412296574,-0.511237012958166
221,Pre,multi-second,0.3608110380434437,control,-0.766513412296574,-0.511237012958166
222,Pre,single,0.22999959637126288,control,-0.648376560271858,0.567501566235118
222,Pre,multi-first,0.24957026945281166,control,-0.648376560271858,0.567501566235118
222,Pre,multi-second,0.2249449913321941,control,-0.648376560271858,0.567501566235118
223,Pre,single,0.35941917349456126,control,-1.49613844223326,2.11547325680926
223,Pre,multi-first,0.3587562783444444,control,-1.49613844223326,2.11547325680926
223,Pre,multi-second,0.3488824770772264,control,-1.49613844223326,2.11547325680926
224,Pre,single,0.1778645675096276,control,-0.144203997971171,1.69808988782187
224,Pre,multi-first,0.1993976399360982,control,-0.144203997971171,1.69808988782187
224,Pre,multi-second,0.17428667587078311,control,-0.144203997971171,1.69808988782187
227,Pre,single,0.2729190839092392,control,0.566583293317954,0.530147159421352
227,Pre,multi-first,0.29075872862310603,control,0.566583293317954,0.530147159421352
227,Pre,multi-second,0.21804135355741766,control,0.566583293317954,0.530147159421352
229,Pre,single,0.2538453872184077,control,1.65015430897192,-1.65224482900958
229,Pre,multi-first,0.1476123631305698,control,1.65015430897192,-1.65224482900958
229,Pre,multi-second,0.13818358635774525,control,1.65015430897192,-1.65224482900958
230,Pre,single,0.1913443027516106,control,0.451304695978563,-0.685551961424652
230,Pre,multi-first,0.15561864915632614,control,0.451304695978563,-0.685551961424652
230,Pre,multi-second,0.13931296257556636,control,0.451304695978563,-0.685551961424652
231,Pre,single,0.1889881764782054,control,0.310511241947279,0.840971212789316
231,Pre,multi-first,0.22308938711490256,control,0.310511241947279,0.840971212789316
231,Pre,multi-second,0.2254848173436028,control,0.310511241947279,0.840971212789316
232,Pre,single,0.18077548247489453,control,1.51673547446923,-1.41907737334713
233,Pre,single,0.31317086727298804,control,0.142921153598756,1.40874445481173
233,Pre,multi-first,0.19059330149125372,control,0.142921153598756,1.40874445481173
233,Pre,multi-second,0.15475148273148343,control,0.142921153598756,1.40874445481173
234,Pre,single,0.23861804449356622,control,0.48684023456382,0.897029042901298
234,Pre,multi-first,0.2326526837971863,control,0.48684023456382,0.897029042901298
234,Pre,multi-second,0.18323427142851353,control,0.48684023456382,0.897029042901298
235,Pre,single,0.28608066786450376,control,-0.49820336648622,-0.8465814498082
235,Pre,multi-first,0.3200122414554103,control,-0.49820336648622,-0.8465814498082
235,Pre,multi-second,0.2354481787516375,control,-0.49820336648622,-0.8465814498082
236,Pre,single,0.23049386590311166,control,0.203617747466035,0.997692950116136
236,Pre,multi-first,0.2777684202523773,control,0.203617747466035,0.997692950116136
236,Pre,multi-second,0.29746471165322785,control,0.203617747466035,0.997692950116136
237,Pre,single,0.3228377956033171,control,-1.65726822797257,-2.76232413062317
237,Pre,multi-first,0.23843411874673706,control,-1.65726822797257,-2.76232413062317
237,Pre,multi-second,0.18280601401370683,control,-1.65726822797257,-2.76232413062317
238,Pre,single,0.32545807220512063,control,-1.14919559839245,0.743339738411158
238,Pre,multi-first,0.25958288389354944,control,-1.14919559839245,0.743339738411158
238,Pre,multi-second,0.23634107131740442,control,-1.14919559839245,0.743339738411158
239,Pre,single,0.3411052773404947,control,-0.89270554814307,-0.681143328525162
239,Pre,multi-first,0.21854042901575166,control,-0.89270554814307,-0.681143328525162
239,Pre,multi-second,0.22666906094443898,control,-0.89270554814307,-0.681143328525162
240,Pre,single,0.2484871736121746,control,1.7464681050564,-0.238894473227603
240,Pre,multi-first,0.21756603458610543,control,1.7464681050564,-0.238894473227603
240,Pre,multi-second,0.17683532721619158,control,1.7464681050564,-0.238894473227603
243,Pre,single,0.283490248403991,control,-0.282191385863068,-0.457638642201215
243,Pre,multi-first,0.22649304748476526,control,-0.282191385863068,-0.457638642201215
243,Pre,multi-second,0.20654877390934542,control,-0.282191385863068,-0.457638642201215
244,Pre,single,0.26124645718387024,control,0.663918062087464,-0.110169155910622
244,Pre,multi-first,0.27280500897775706,control,0.663918062087464,-0.110169155910622
244,Pre,multi-second,0.2786785794944291,control,0.663918062087464,-0.110169155910622
246,Pre,single,0.3041406861639216,control,-0.580358861421163,0.695627546205131
246,Pre,multi-first,0.25365635637107475,control,-0.580358861421163,0.695627546205131
246,Pre,multi-second,0.2377103215668485,control,-0.580358861421163,0.695627546205131
247,Pre,single,0.29680206884391047,control,0.654094547800522,-0.828563389371972
247,Pre,multi-first,0.27714024776006907,control,0.654094547800522,-0.828563389371972
247,Pre,multi-second,0.21498144557242405,control,0.654094547800522,-0.828563389371972
248,Pre,single,0.26795519800195056,control,-0.178551807987919,0.367771183554464
248,Pre,multi-first,0.2410202786824918,control,-0.178551807987919,0.367771183554464
248,Pre,multi-second,0.17578109408893064,control,-0.178551807987919,0.367771183554464
249,Pre,single,0.2716996583178956,control,-1.06734313220665,-0.355543914011917
249,Pre,multi-first,0.18962745578004916,control,-1.06734313220665,-0.355543914011917
249,Pre,multi-second,0.15931242206809781,control,-1.06734313220665,-0.355543914011917
250,Pre,single,0.1595447907837011,control,-1.7724751972205,-0.47982283511267
250,Pre,multi-first,0.20510039478068653,control,-1.7724751972205,-0.47982283511267
250,Pre,multi-second,0.13496393092233708,control,-1.7724751972205,-0.47982283511267
